,id_str,created_at,full_text,favorite_count,reply_count,quote_count
0,1.5957009586793513e+18,Thu Nov 24 08:48:49 +0000 2022,@trishamarie_ Hindi na po sakop ng MMDA ang Rizal. #mmda,0,0,0
1,1.595685605941256e+18,Thu Nov 24 07:47:49 +0000 2022,"Nakipagpulong si #MMDA Acting Chairman Atty. Romando Artes at General Manager Ret. P/Col. Procopio Lipana sa mga jeepney operators bilang bahagi ng konsultasyon sa kanilang hanay.

Kasama sa mga natalakay ang single ticketing system, at loading and unloading sa Commonwealth. https://t.co/Ju2ZPzpzsk",0,1,0
2,1.5955545247977103e+18,Wed Nov 23 23:06:57 +0000 2022,MMDA ALERT: Vehicular accident at EDSA Aurora intersection SB involving innova and motorcycle as of 7:04 AM. 1 Lane occupied. MMDA enforcer on site. #mmda,0,0,0
3,1.59568561370488e+18,Thu Nov 24 07:47:51 +0000 2022,Binigyang diin din ni Artes na tuloy ang mga designated jeepney lanes and stops sa Commonwealth Avenue at inuumpisahan na ang paglalagay ng lane markings at signages para hindi magdulot ng kalituhan at aksidente sa lugar. #mmda,0,1,0
4,1.595614883239772e+18,Thu Nov 24 03:06:47 +0000 2022,"@dagnatividad Ito lang po ang exempted sa coding, PUV, tricycles, TNVS, Motorcycles, garbage trucks, fuel trucks, marked government vehicles, fire trucks, ambulances, marked media vehicles, motor vehicles carrying essential and/or perishable goods. #mmda",1,0,0
5,1.595685608974082e+18,Thu Nov 24 07:47:50 +0000 2022,Nangako naman si Artes na diringgin ang suhestyon ng mga jeepney operators pagdating sa multa sa panukalang single ticketing system. Sinabi rin ni Artes na kapag maayos na mai-rollout ang nasabing sistema sa Metro Manila ay maaari rin itong maipatupad sa buong bansa. #mmda,0,1,0
6,1.5956571372831785e+18,Thu Nov 24 05:54:42 +0000 2022,"@francis_medina_ Implemented po ang Number Coding Scheme mula 7:00 a.m. to 10:00 a.m.  and 5:00 p.m. to 8:00 p.m. on weekdays except holidays. Makati City from 7AM to 7PM.
Monday 1 and 2
Tuesday 3 and 4
Wednesday 5 and 6
Thursday 7 and 8
Friday 9 and 0 #mmda",1,0,0
7,1.5957034390691308e+18,Thu Nov 24 08:58:41 +0000 2022,@lhyjsuk Meron pong window hour na 10:01 AM to 4:59 PM. Maliban lang po sa Makati City. #mmda,0,0,0
8,1.5955538300531548e+18,Wed Nov 23 23:04:11 +0000 2022,MMDA ALERT: Rallyists at Timog Tomas Morato rotonda more or less 30 pax and 50 motorcycle as of 6:50 AM. 2 lanes occupied. PNP and MMDA enforcer on site. #mmda,2,0,0
9,1.5955431677507174e+18,Wed Nov 23 22:21:49 +0000 2022,MMDA ALERT: Vehicular accident at EDSA Main Avenue SB involving Hi-ace and motorcycle as of 6:18 AM. 1 Lane occupied. MMDA enforcer on site. #mmda,2,1,0
